season,week,n_competitors,mean_std,median_std,mean_cv,entropy,effective_competitors,gini_mean_norm,top1_share,top3_share,mean_p_bottom2,max_p_bottom2,mean_p_top1,max_p_top1
1,1,6,0.021733526306302597,0.02083448561116425,0.13595587752458657,1.7905113767475656,5.992516116377992,0.027694918340612478,0.17567836120921718,0.5221778510718574,0.3333333333333333,0.605,0.16666666666666666,0.235
1,2,6,0.039296361076579696,0.03517580821229875,0.3226474715520608,1.743794119637125,5.719000884751934,0.14978910705917828,0.21490810429277804,0.613909178769036,0.3333333333333333,0.907,0.16666666666666666,0.45
1,3,5,0.0432233838518825,0.0350122840944533,0.3381679894816426,1.5355891240212078,4.644060651897815,0.15491495389019097,0.24493903147308146,0.7232526484022721,0.4,0.988,0.19999999999999998,0.294
1,4,4,0.09517775947761248,0.08944632283457829,0.5891370999745054,1.3095875390419591,3.7046453754614816,0.1619168999513425,0.30908507295341403,0.9035877853166523,0.5,0.893,0.25,0.348
1,5,3,0.019972727209672535,0.0176490057806761,0.061133191914097516,1.09859976144456,2.999962418564747,0.00243666086577754,0.33463447723525463,1.0,0.6666666666666666,0.682,0.3333333333333333,0.351
1,6,2,0.0341110197401707,0.0341110197401707,0.06994023284314946,0.6931471741768873,1.999999987233884,5.649361864668023e-05,0.5000564936186466,1.0,1.0,1.0,0.5,0.504
2,1,10,0.01156207028911123,0.006999608864230801,0.18896438162142057,2.2566661073484817,9.551193374329511,0.11439629104474527,0.11611757879581537,0.347317267536335,0.19999999999999998,0.996,0.1,0.198
2,2,9,0.012780178164653646,0.0086099054588267,0.20311129086224086,2.153691609449674,8.61660891075106,0.0995199146147247,0.12615260649480467,0.3769307117024573,0.2222222222222222,0.982,0.1111111111111111,0.228
2,3,8,0.02171678462809961,0.01307329133745745,0.2527179856939416,2.0475038927256373,7.748535770880828,0.11350752352760529,0.1483890853907812,0.4355063906668215,0.25,0.866,0.125,0.201
2,4,7,0.016226011618326357,0.0151118257169464,0.20884273052984864,1.8639439037789258,6.449121395510726,0.13553068109806254,0.1770768708800826,0.5015655001875083,0.2857142857142857,1.0,0.14285714285714285,0.517
2,5,6,0.03704405279835333,0.035085658336547004,0.2936199261270627,1.7579682613844956,5.8006400295373135,0.1246371207721421,0.20693007372148955,0.5850263908333635,0.3333333333333333,0.854,0.16666666666666666,0.363
2,6,5,0.036569458402036056,0.0208257110868346,0.2772065330646751,1.563429838545713,4.775171256598176,0.13015854277094352,0.23888931289013135,0.700929492378501,0.4,0.945,0.2,0.319
2,7,4,0.09492283487542146,0.088939435341535,0.5071192822766702,1.3316361860950356,3.787234942070652,0.15831358855562616,0.31539058710521284,0.8780390122493597,0.5,0.864,0.25,0.407
2,8,3,0.007163290647278934,0.0036613632700437,0.02185482848340189,1.0985298482872607,2.999752689051798,0.006132159526129222,0.33648970697170416,1.0,0.6666666666666666,0.788,0.3333333333333333,0.416
3,1,11,0.008032484149729681,0.0056847523942936,0.127992653444957,2.3784547947468306,10.788219963837783,0.06514858664619555,0.09905650884826908,0.296367216741942,0.18181818181818182,0.925,0.09090909090909091,0.272
3,2,10,0.0091974551723357,0.0061983145126239,0.15550136595772815,2.266451700223324,9.64511626023471,0.1006285323278771,0.11552326454759865,0.3449469260960671,0.19999999999999998,0.988,0.1,0.252
3,3,9,0.013387379155914755,0.0087658773605194,0.15986587526444765,2.1789197598994616,8.83675528356052,0.07301040592906934,0.1252556071334409,0.36752128323347977,0.2222222222222222,0.883,0.1111111111111111,0.211
3,4,8,0.014111248917951048,0.01246807126141925,0.17989462345814727,2.0370491439759073,7.667948768672105,0.10485060179635664,0.1453829836672672,0.4316957853062513,0.25,0.996,0.125,0.215
3,5,7,0.024260436246547463,0.0172052324018047,0.20241190314605637,1.931730472339144,6.901442669875477,0.06514631010898089,0.15562388261070392,0.46387626829824213,0.2857142857142857,0.797,0.14285714285714285,0.171
3,6,5,0.03061203611522766,0.0188330955642517,0.1815012640986721,1.5978187894151004,4.94224059155236,0.06645122268954626,0.22214658873172882,0.6480024656628062,0.4,0.815,0.2,0.379
3,7,5,0.030589942302104146,0.0255596396720846,0.3296237695622077,1.5214666500013427,4.578935969206208,0.15925062340372237,0.24456011334108202,0.7199992761909799,0.4,0.992,0.2,0.321
3,8,4,0.05569921959718467,0.04405050090136185,0.3966581170786019,1.2995524516299128,3.6676548473006934,0.17018287882018068,0.31406960087365954,0.9120113944117375,0.5,0.978,0.25,0.406
3,9,3,0.0036875767341363,0.0035853341119076,0.011025873101997945,1.098607176213284,2.999984662674729,0.0017333253766017205,0.33470288407768056,0.9999999999999999,0.6666666666666666,0.819,0.3333333333333333,0.549
3,10,2,0.0282755937390936,0.0282755937390936,0.05777849896142413,0.6931464832541839,1.9999986053889636,0.0005904682884287915,0.5005904682884289,1.0,1.0,1.0,0.5,0.524
4,1,11,0.005646305038616509,0.0043788730293888,0.0645405919275265,2.3965262976370436,10.984951576034895,0.0297495045037463,0.0981948202815237,0.289366474268705,0.18181818181818182,0.533,0.09090909090909091,0.404
4,2,11,0.008170575245067481,0.005326598862352,0.11997582770427573,2.3814255763573784,10.820317062445852,0.06702359804451839,0.10069774590224669,0.29902410311286975,0.18181818181818182,0.933,0.09090909090909093,0.225
4,3,10,0.00891542745111376,0.00410913061138725,0.15084114347563635,2.2677715242663274,9.657854520854743,0.09371961410800012,0.11287606748046625,0.3369089946001082,0.2,0.988,0.09999999999999999,0.175
4,4,9,0.013595941157048909,0.0061584625895875,0.17003546787493043,2.169247641903626,8.75169715299231,0.1041402048243347,0.12937462105813302,0.3847913481993608,0.2222222222222222,0.937,0.1111111111111111,0.248
4,5,8,0.014731883373717275,0.0096522557659503,0.2163064116940934,2.016147756315518,7.509341330837635,0.1412936532868545,0.1531055189903794,0.4494429762765517,0.25,1.0,0.125,0.467
